facilities,rating,location,Price,review,total reviews,have bar,have restaurant,have swimming pool,have gym,have internet
"restaurant, bar, swimming pool",7.8,Stokol,13500,"['Very', 'GoodFrom']",10,1,1,1,0,0
"restaurant, gym, internet",5.6,Machlessvile,13000,['GoodFrom'],4,0,1,0,1,1
"restaurant, bar, swimming pool, gym",7.2,Wanderland,19000,"['Very', 'GoodFrom']",38,1,1,1,1,0
"restaurant, bar",7.3,Uberlandia,6000,"['Very', 'GoodFrom']",6,1,1,0,0,0
"restaurant, internet",7.2,Stokol,20000,"['Very', 'GoodFrom']",30,0,1,0,0,1
internet,5.4,Uberlandia,4000,['GoodFrom'],13,0,0,0,0,1
bar,7.9,Hallerson,15000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar",7.3,Willsmian,13500,"['Very', 'GoodFrom']",7,1,1,0,0,0
"restaurant, bar, internet",,Andeman,7475,,,1,1,0,0,1
"restaurant, bar, internet",7.7,Stokol,20000,"['Very', 'GoodFrom']",8,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",6.9,Willsmian,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
"restaurant, bar, internet",9.6,Stokol,15000,['ExcellentFrom'],2,1,1,0,0,1
"restaurant, bar",From,Stokol,7500,,1,1,1,0,0,0
"restaurant, internet",,Stokol,14904,,,0,1,0,0,1
"restaurant, bar",7.4,Andeman,20000,"['Very', 'GoodFrom']",50,1,1,0,0,0
internet,5.4,Uberlandia,4000,['GoodFrom'],13,0,0,0,0,1
,,Machlessvile,3200,,,2,2,2,2,2
bar,,Stokol,25000,,,1,0,0,0,0
"restaurant, bar",9.6,Andeman,12800,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, bar, swimming pool, internet",2.4,Stokol,8000,['FairFrom'],4,1,1,1,0,1
"restaurant, bar",7.8,Hallerson,10000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar",9.6,Stokol,8000,['ExcellentFrom'],1,1,1,0,0,0
